,AUC,Sensitivity,Specificity,PPV,NPV,TP,FP,FN,TN,N,Prevalence
FST I-II,0.5913233217815427,0.2857142857142857,0.7861635220125787,0.2916666666666667,0.78125,14.0,34.0,35.0,125.0,208.0,0.23557692307692307
FST III-IV,0.6323838808868748,0.32432432432432434,0.8682634730538922,0.5217391304347826,0.7435897435897436,24.0,22.0,50.0,145.0,241.0,0.3070539419087137
FST V-VI,0.5136268343815514,0.2708333333333333,0.8301886792452831,0.325,0.7904191616766467,13.0,27.0,35.0,132.0,207.0,0.2318840579710145
