,N,malignant,auc,sensitivity,specificity,ppv,npv,ci_lo,ci_hi
FST I-II,208.0,49.0,0.692722371967655,0.04081632653061224,0.9748427672955975,0.3333333333333333,0.7673267326732673,0.6032521870643592,0.7784611057414133
FST III-IV,241.0,74.0,0.7571613529697363,0.12162162162162163,1.0,1.0,0.7198275862068966,0.6862578740777606,0.823296521062055
FST V-VI,207.0,48.0,0.5055031446540881,0.020833333333333332,1.0,1.0,0.7718446601941747,0.40236920212804234,0.6050849355822049
